iter	Passed	Remaining
0	46	4641
1	47	2326
2	48	1556
3	48	1170
4	49	938
5	50	783
6	50	672
7	51	589
8	52	525
9	52	473
10	53	430
11	53	394
12	54	364
13	55	338
14	55	315
15	56	296
16	57	278
17	57	262
18	58	248
19	58	235
20	59	224
21	60	213
22	60	203
23	61	194
24	62	186
25	63	179
26	63	172
27	64	165
28	65	159
29	65	153
30	66	147
31	67	142
32	67	137
33	68	133
34	69	128
35	69	124
36	70	120
37	71	116
38	72	113
39	72	109
40	73	106
41	74	102
42	75	99
43	76	96
44	76	94
45	77	91
46	78	88
47	79	85
48	80	83
49	80	80
50	81	78
51	82	76
52	83	73
53	83	71
54	84	69
55	85	66
56	85	64
57	86	62
58	87	60
59	87	58
60	88	56
61	89	54
62	90	52
63	90	51
64	91	49
65	92	47
66	92	45
67	93	44
68	94	42
69	95	40
70	95	39
71	96	37
72	97	35
73	97	34
74	98	32
75	99	31
76	99	29
77	100	28
78	101	26
79	101	25
80	102	24
81	103	22
82	103	21
83	104	19
84	105	18
85	105	17
86	106	15
87	106	14
88	107	13
89	107	11
90	108	10
91	108	9
92	109	8
93	109	6
94	110	5
95	110	4
96	111	3
97	111	2
98	111	1
99	112	0
