iter	Passed	Remaining
0	48	48826
1	49	24779
2	50	16744
3	51	12755
4	51	10319
5	52	8680
6	52	7517
7	53	6660
8	54	5991
9	55	5473
10	56	5044
11	57	4706
12	57	4392
13	58	4120
14	59	3890
15	59	3686
16	60	3506
17	61	3350
18	62	3213
19	62	3086
20	63	2972
21	64	2875
22	65	2777
23	66	2694
24	67	2613
25	67	2538
26	68	2469
27	69	2411
28	70	2352
29	71	2298
30	71	2245
31	72	2192
32	73	2144
33	73	2100
34	74	2062
35	75	2025
36	76	1986
37	77	1961
38	78	1929
39	79	1902
40	80	1873
41	80	1846
42	81	1821
43	82	1795
44	83	1770
45	84	1753
46	85	1730
47	86	1709
48	87	1689
49	87	1668
50	88	1648
51	89	1628
52	90	1608
53	90	1587
54	91	1568
55	92	1552
56	92	1535
57	93	1518
58	94	1502
59	94	1486
60	95	1470
61	96	1456
62	97	1442
63	97	1428
64	98	1415
65	99	1402
66	99	1389
67	100	1378
68	101	1366
69	102	1355
70	102	1344
71	103	1333
72	104	1321
73	104	1310
74	105	1299
75	106	1289
76	106	1280
77	107	1270
78	108	1261
79	109	1259
80	110	1249
81	110	1238
82	110	1225
83	111	1214
84	112	1207
85	112	1199
86	113	1192
87	114	1182
88	114	1173
89	115	1165
90	115	1157
91	116	1149
92	117	1142
93	117	1134
94	118	1125
95	118	1118
96	119	1111
97	119	1104
98	120	1096
99	121	1089
100	121	1081
101	122	1074
102	122	1069
103	123	1062
104	123	1055
105	124	1048
106	124	1041
107	125	1035
108	125	1028
109	126	1022
110	127	1017
111	127	1011
112	128	1005
113	128	998
114	129	993
115	129	987
116	129	980
117	130	974
118	130	969
119	131	963
120	131	957
121	132	951
122	132	945
123	133	940
124	133	934
125	134	929
126	134	924
127	135	921
128	135	918
129	136	913
130	136	908
131	137	903
132	137	897
133	138	892
134	138	887
135	138	882
136	139	877
137	139	872
138	140	868
139	140	864
140	141	860
141	141	855
142	142	851
143	142	847
144	143	844
145	143	840
146	144	836
147	144	832
148	144	827
149	145	823
150	145	819
151	146	815
